Run	AvgSpotLen	Library Name	Sample Name	sample_type	SRA Study	Bases	Bytes	SEQUENCING_CENTER (run)	isolate	Platform	LibraryLayout
SRR30784673		HG008-T_Ultima-1_SC52	HG008-T Liss_0823p23	cell culture	SRP047086		28347927607	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784674		HG008-T_Ultima-1_SC54	HG008-T Liss_0823p23	cell culture	SRP047086		26082127391	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784675		HG008-T_Ultima-1_SC66	HG008-T Liss_0823p23	cell culture	SRP047086		19998027973	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784676		HG008-T_Ultima-1_SC67	HG008-T Liss_0823p23	cell culture	SRP047086		18200698939	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784677		HG008-T_Ultima-1_SC74	HG008-T Liss_0823p23	cell culture	SRP047086		14576234119	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784678		HG008-T_Ultima-1_SC78	HG008-T Liss_0823p23	cell culture	SRP047086		16167798576	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784679		HG008-T_Ultima-1_SC79	HG008-T Liss_0823p23	cell culture	SRP047086		11044806119	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784680		HG008-T_Ultima-1_SC81	HG008-T Liss_0823p23	cell culture	SRP047086		18123744493	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784681		HG008-T_Ultima-1_SC83	HG008-T Liss_0823p23	cell culture	SRP047086		20366194086	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784682		HG008-T_Ultima-1_SC84	HG008-T Liss_0823p23	cell culture	SRP047086		18016064966	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784683		HG008-T_Ultima-1_SC85	HG008-T Liss_0823p23	cell culture	SRP047086		46508216439	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784684		HG008-T_Ultima-1_SC86	HG008-T Liss_0823p23	cell culture	SRP047086		14860606229	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784685		HG008-T_Ultima-1_SC88	HG008-T Liss_0823p23	cell culture	SRP047086		15458628827	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784686		HG008-T_Ultima-1_SC92	HG008-T Liss_0823p23	cell culture	SRP047086		21300320672	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784687		HG008-T_Ultima-1_SC95	HG008-T Liss_0823p23	cell culture	SRP047086		23260175277	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784688		HG008-T_Ultima-1_SC100	HG008-T Liss_0823p23	cell culture	SRP047086		20934286322	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784689		HG008-T_Ultima-1_SC101	HG008-T Liss_0823p23	cell culture	SRP047086		18822589451	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784690		HG008-T_Ultima-1_SC103	HG008-T Liss_0823p23	cell culture	SRP047086		13164233620	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784691		HG008-T_Ultima-1_SC104	HG008-T Liss_0823p23	cell culture	SRP047086		20217835538	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784692		HG008-T_Ultima-1_SC106	HG008-T Liss_0823p23	cell culture	SRP047086		19390196997	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784693		HG008-T_Ultima-1_SC108	HG008-T Liss_0823p23	cell culture	SRP047086		15462937664	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784694		HG008-T_Ultima-1_SC110	HG008-T Liss_0823p23	cell culture	SRP047086		17740694579	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784695		HG008-T_Ultima-1_SC116	HG008-T Liss_0823p23	cell culture	SRP047086		19998646651	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784696		HG008-T_Ultima-1_SC117	HG008-T Liss_0823p23	cell culture	SRP047086		16846440068	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784697		HG008-T_Ultima-1_SC118	HG008-T Liss_0823p23	cell culture	SRP047086		18860717242	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784698		HG008-T_Ultima-1_SC119	HG008-T Liss_0823p23	cell culture	SRP047086		21370812084	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784699		HG008-T_Ultima-1_SC122	HG008-T Liss_0823p23	cell culture	SRP047086		20391746468	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784700		HG008-T_Ultima-1_SC123	HG008-T Liss_0823p23	cell culture	SRP047086		22047714593	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784701		HG008-T_Ultima-1_SC129	HG008-T Liss_0823p23	cell culture	SRP047086		16520720098	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784702		HG008-T_Ultima-1_SC133	HG008-T Liss_0823p23	cell culture	SRP047086		16929524460	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784703		HG008-T_Ultima-1_SC97	HG008-T Liss_0823p23	cell culture	SRP047086		20356293460	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784704		HG008-T_Ultima-1_SC01	HG008-T Liss_0823p23	cell culture	SRP047086		16606814938	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784705		HG008-T_Ultima-1_SC02	HG008-T Liss_0823p23	cell culture	SRP047086		21925992682	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784706		HG008-T_Ultima-1_SC03	HG008-T Liss_0823p23	cell culture	SRP047086		22962288914	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
