Run	AvgSpotLen	Library Name	Sample Name	sample_type	SRA Study	Bases	Bytes	SEQUENCING_CENTER (run)	isolate	Platform	LibraryLayout
SRR30713454		HG008-T_ILMN-1_SC01	HG008-T Liss_0823p23	cell culture	SRP047086		45354125	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713455		HG008-T_ILMN-1_SC29	HG008-T Liss_0823p23	cell culture	SRP047086		51533963	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713456		HG008-T_ILMN-1_SC52	HG008-T Liss_0823p23	cell culture	SRP047086		51379689	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713457		HG008-T_ILMN-1_SC81	HG008-T Liss_0823p23	cell culture	SRP047086		54760203	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713458		HG008-T_ILMN-1_SC97	HG008-T Liss_0823p23	cell culture	SRP047086		49790437	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713459		HG008-T_ILMN-1_SC117	HG008-T Liss_0823p23	cell culture	SRP047086		45115215	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713460		HG008-T_ILMN-1_SC137	HG008-T Liss_0823p23	cell culture	SRP047086		50554432	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713461		HG008-T_ILMN-1_SC150	HG008-T Liss_0823p23	cell culture	SRP047086		58783900	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713462		HG008-T_ILMN-1_SC181	HG008-T Liss_0823p23	cell culture	SRP047086		63127112	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713463		HG008-T_ILMN-1_SC200	HG008-T Liss_0823p23	cell culture	SRP047086		78357679	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713464		HG008-T_ILMN-1_SC249	HG008-T Liss_0823p23	cell culture	SRP047086		64728568	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713465		HG008-T_ILMN-1_SC268	HG008-T Liss_0823p23	cell culture	SRP047086		68314467	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713466		HG008-T_ILMN-1_SC03	HG008-T Liss_0823p23	cell culture	SRP047086		47740868	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713467		HG008-T_ILMN-1_SC33	HG008-T Liss_0823p23	cell culture	SRP047086		52157796	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713468		HG008-T_ILMN-1_SC54	HG008-T Liss_0823p23	cell culture	SRP047086		50686920	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713469		HG008-T_ILMN-1_SC83	HG008-T Liss_0823p23	cell culture	SRP047086		52659448	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
