#Run	AvgSpotLen	Library~Name	Sample~Name	sample-type	Oocyte_ID	Donor	SRA~Study	Bases	Note
SRR926951	202	S0401A	S0401A	PB1	S0401	S04	SRP026609	994025840	NA
SRR926952	202	S0401B	S0401B	PB2	S0401	S04	SRP026609	1071751804	NA
SRR926953	202	S0401C	S0401C	FPN	S0401	S04	SRP026609	1410611854	NA
SRR926954	202	S0402A	S0402A	PB1	S0402	S04	SRP026609	851490600	NA
SRR926955	202	S0402B	S0402B	PB2	S0402	S04	SRP026609	1085483764	NA
SRR926956	202	S0402C	S0402C	FPN	S0402	S04	SRP026609	1465751794	NA
SRR926957	202	S0403B	S0403B	PB2	S0403	S04	SRP026609	1009213008	NA
SRR926958	202	S0403C	S0403C	FPN	S0403	S04	SRP026609	989410544	NA
SRR926959	202	S0404A	S0404A	PB1	S0404	S04	SRP026609	1060438794	NA
SRR926960	202	S0404B	S0404B	PB2	S0404	S04	SRP026609	1436115566	NA
SRR926961	202	S0404C	S0404C	FPN	S0404	S04	SRP026609	1544374032	NA
