#Run	AvgSpotLen	Library~Name	Sample~Name	sample-type	Oocyte_ID	Donor	SRA~Study	Bases	Note
SRR926887	202	S0101B	S0101B	PB2	S0101	S01	SRP026609	3612122590	NA
SRR926888	202	S0103A	S0103A	PB1	S0103	S01	SRP026609	2656088708	NA
SRR926889	202	S0103B	S0103B	PB2	S0103	S01	SRP026609	3873506348	NA
SRR926890	202	S0105A	S0105A	PB1	S0105	S01	SRP026609	2194265804	NA
SRR926891	202	S0105B	S0105B	PB2	S0105	S01	SRP026609	4219233388	NA
SRR926892	202	S0106A	S0106A	PB1	S0106	S01	SRP026609	2305432666	NA
SRR926893	202	S0106B	S0106B	PB2	S0106	S01	SRP026609	4290465456	NA
SRR926894	202	S0106C	S0106C	FPN	S0106	S01	SRP026609	3073476258	NA
SRR926895	202	S0107A	S0107A	PB1	S0107	S01	SRP026609	3364105172	NA
SRR926896	202	S0107C	S0107C	FPN	S0107	S01	SRP026609	2936004552	NA
SRR926897	202	S0108A	S0108A	PB1	S0108	S01	SRP026609	2375089942	NA
SRR926898	202	S0108B	S0108B	PB2	S0108	S01	SRP026609	3374351218	NA
SRR926899	202	S0110A	S0110A	PB1	S0110	S01	SRP026609	3726065740	NA
SRR926900	202	S0110B	S0110B	PB2	S0110	S01	SRP026609	4413584052	NA
SRR926901	202	S0110C	S0110C	FPN	S0110	S01	SRP026609	3159877314	NA
SRR926902	202	S0111A	S0111A	PB1	S0111	S01	SRP026609	2140208382	NA
SRR926903	202	S0111B	S0111B	PB2	S0111	S01	SRP026609	2951404022	NA
SRR926904	202	S0113A	S0113A	PB1	S0113	S01	SRP026609	2327730032	NA
SRR926905	202	S0113B	S0113B	PB2	S0113	S01	SRP026609	2961072146	NA
SRR926906	202	S0113C	S0113C	FPN	S0113	S01	SRP026609	2915403784	NA
SRR926907	202	S0117A	S0117A	PB1	S0117	S01	SRP026609	2640964160	NA
SRR926908	202	S0117B	S0117B	PB2	S0117	S01	SRP026609	2724379858	NA
SRR926909	202	S0117C	S0117C	FPN	S0117	S01	SRP026609	3393171356	NA
SRR926910	202	S0118A	S0118A	PB1	S0118	S01	SRP026609	3302430128	NA
SRR926911	202	S0118B	S0118B	PB2	S0118	S01	SRP026609	2519418740	NA
SRR926912	202	S0118C	S0118C	FPN	S0118	S01	SRP026609	2620557110	NA
SRR926913	202	S0120A	S0120A	PB1	S0120	S01	SRP026609	2901624354	NA
SRR926914	202	S0120B	S0120B	PB2	S0120	S01	SRP026609	3098165708	NA
SRR926915	202	S0120C	S0120C	FPN	S0120	S01	SRP026609	3307806560	NA
SRR926916	202	S0121A	S0121A	PB1	S0121	S01	SRP026609	3386103376	NA
SRR926917	202	S0121B	S0121B	PB2	S0121	S01	SRP026609	3039381688	NA
SRR926918	202	S0121C	S0121C	FPN	S0121	S01	SRP026609	2652030528	NA
SRR926919	202	S0122A	S0122A	PB1	S0122	S01	SRP026609	3071392022	NA
SRR926920	202	S0122B	S0122B	PB2	S0122	S01	SRP026609	2338749132	NA
SRR926921	202	S0122C	S0122C	FPN	S0122	S01	SRP026609	3070666640	NA
SRR926922	202	S0201B	S0201B	PB2	S0201	S02	SRP026609	1562735024	NA
SRR926923	202	S0201C	S0201C	FPN	S0201	S02	SRP026609	1417200286	NA
SRR926924	202	S0202A	S0202A	PB1	S0202	S02	SRP026609	1449940446	NA
SRR926925	202	S0202B	S0202B	PB2	S0202	S02	SRP026609	1196444990	NA
SRR926926	202	S0202C	S0202C	FPN	S0202	S02	SRP026609	1163033382	NA
SRR926927	202	S0203A	S0203A	PB1	S0203	S02	SRP026609	1152245976	NA
SRR926928	202	S0203B	S0203B	PB2	S0203	S02	SRP026609	1229260900	NA
SRR926929	202	S0203C	S0203C	FPN	S0203	S02	SRP026609	1238583604	NA
SRR926930	202	S0204A	S0204A	PB1	S0204	S02	SRP026609	1034806610	NA
SRR926931	202	S0204B	S0204B	PB2	S0204	S02	SRP026609	1218463798	NA
SRR926932	202	S0204C	S0204C	FPN	S0204	S02	SRP026609	1279680504	NA
SRR926933	202	S0206A	S0206A	PB1	S0206	S02	SRP026609	841429990	NA
SRR926934	202	S0206B	S0206B	PB2	S0206	S02	SRP026609	1637639250	NA
SRR926935	202	S0206C	S0206C	FPN	S0206	S02	SRP026609	1281744338	NA
SRR926936	202	S0301A	S0301A	PB1	S0301	S03	SRP026609	1274131968	NA
SRR926937	202	S0301C	S0301C	FPN	S0301	S03	SRP026609	1679665956	NA
SRR926938	202	S0303A	S0303A	PB1	S0303	S03	SRP026609	1241444328	NA
SRR926939	202	S0303B	S0303B	PB2	S0303	S03	SRP026609	615274426	NA
SRR926940	202	S0303C	S0303C	FPN	S0303	S03	SRP026609	1290526692	NA
